店名,住所
こころっこ名取店,宮城県名取市愛島塩手字前野田４８－１０ホームセンタームサシ名取２階プレビプレイランドコーナー
セガワールドセッツウイングス,宮城県名取市飯野坂土城堀５７－１セガワールドセッツウイングス
モーリーファンタジー新名取店,宮城県名取市せきのした５丁目３番地の１イオンモール名取
モーリーファンタジー塩釜店,宮城県塩釜市海岸通１５番１００号イオンタウン塩釜ショッピングセンター２階
モーリーファンタジー多賀城店,宮城県多賀城市町前４－１－１イオン多賀城３階
あひるのたまご古川福浦店,宮城県大崎市古川福浦３－１１－４０ヨークベニマル古川福浦
パロ古川店,宮城県大崎市古川沢田字筒場浦８２番外イオンタウン古川店１Ｆ
モーリーファンタジー古川店,宮城県大崎市古川旭二丁目２－１イオン古川２階
ファーストエンターテインメント仙台富谷,宮城県富谷市富ケ丘1-27-1MEGAドン・キホーテ仙台富谷店内
トイザらス石巻矢本店,宮城県東松島市小松字上浮足４３イオンタウン矢本
モーリーファンタジー栗原志波姫店,宮城県栗原市志波姫新熊谷１１番イオンスーパーセンター栗原志波姫１階
モーリーファンタジー気仙沼店,宮城県気仙沼市字赤岩舘下６－１外イオン気仙沼２階
イオンスーパーセンター佐沼店,宮城県登米市南方町新島前４６－１イオンタウン佐沼
ゲームランド佐沼店,宮城県登米市南方町新島前４６－１イオンタウン佐沼１階
ファミリーランド加賀野店,宮城県登米市中田町石森字加賀野３－６－１宮城生協加賀野店１Ｆ
イトーヨーカドー石巻あけぼの店,宮城県石巻市あけぼの１－１－２イトーヨーカドー石巻あけぼの
モーリーファンタジー石巻店,宮城県石巻市蛇田字新金沼１７０番地イオン石巻２階
モーリーファンタジー石巻東店,宮城県石巻市流留字七勺１番１イオンスーパーセンター石巻東１階
スーパーノバ仙台利府店,宮城県宮城郡利府町加瀬前谷地５５－１利府ベアガーデン
モーリーファンタジー利府店,宮城県宮城郡利府町字新屋田前２２イオンモール利府２階
ｎａｍｃｏイオン利府店,宮城県宮城郡利府町利府字新屋田前２２イオンモール利府２階
あそびの広場新宝島船岡店,宮城県柴田郡柴田町西船迫２－１－１５イオン船岡２階
モーリーファンタジー涌谷店,宮城県遠田郡涌谷町字洞ヶ崎５番地イオンスーパーセンター湧谷１階
モーリーファンタジー富谷店,宮城県黒川郡富谷町大清水１ー３３－１イオン富谷１階
ヨークベニマル大和吉岡店プレビプレイランド,宮城県黒川郡大和町吉岡東１－２－１ヨークベニマル大和吉岡プレビプレイランドコーナー
創遊ほのぼの横丁富谷店,宮城県黒川郡富谷町富谷大清水上３３街区１番地イオン富谷２階
プラサカプコン大曲店,秋田県大仙市和合坪立１７７イオン大曲２階
モーリーファンタジー中仙店,秋田県大仙市北長野字袴田１８８イオン中仙２階
モーリーファンタジー大曲店,秋田県大仙市和合字坪立１７７番地イオン大曲２階
メルヘンランド大館店,秋田県大館市御成町三丁目７－５８いとく大館ショッピングセンター３階
モーリーファンタジー大館店,秋田県大館市大田面２３８イオンスーパーセンター大館１階
ソピアラッキー十文字店,秋田県横手市十文字町仁井田東２２－１スーパーモールラッキー
モーリーファンタジー横手店,秋田県横手市安田字向田１４７イオン横手２階
イオンスーパーセンター本荘店,秋田県由利本荘市石脇字田中１３８イオンスーパーセンター本荘
SOYUGameField御所野店,秋田県秋田市御所野地蔵田１－１－１イオンモール秋田２階
イオン土崎港店,秋田県秋田市土崎港南２－３－４１イオン土崎港
ファンタジープラザ秋田,秋田県秋田市旭北錦町４－５８ドン・キホーテ秋田２階
モーリーファンタジー御所野店,秋田県秋田市御所野地蔵田1-1-1イオン御所野3階
モーリーファンタジー秋田中央店,秋田県秋田市楢山川口境５－１１イオン秋田中央３階
秋田フォーラスゲーム,秋田県秋田市千秋久保田町4-2秋田フォーラス5F
モーリーファンタジー能代店,秋田県能代市柳町１１－１イオン能代３階
ソユープレイランドソピアいとくアクロス能代店,秋田県能代市寺向７０いとくアクロス能代
ソユープレイランドソピアいとく鹿角店,秋田県鹿角市花輪下夕町１６４－１いとく鹿角ショッピングセンター
にこにこらんどヤマザワ店,山形県南陽市郡山塚田５７８ヤマザワ南陽ショッピングプラザ
スーパーノバ天童店,山形県天童市南町１―５―２６らら・パーク天童
ソユーゲームフィールド天童店,山形県天童市芳賀土地区画整理事業地内３４街区イオン天童２階
モーリーファンタジー天童店,山形県天童市芳賀土地区画整理事業地内イオン天童２階
セガワールド北山形,山形県山形市北町１－３－２０セガワールド北山形
トイザらス山形店,山形県山形市若宮３－７－８イオン山形南ＳＣ１Ｆ
ナムコランドイオン山形南店,山形県山形市若宮三丁目７－８イオン山形南ＳＣ２Ｆ
ビーカム成沢店,山形県山形市成沢西５－３－２７ビーカム成沢
モーリーファンタジー山形北店,山形県山形市馬見ケ崎２－１２－１９イオン山形北２階
モーリーファンタジー山形南店,山形県山形市若宮３－７－８イオン山形南ＳＣ２階
わくわくランド新庄店,山形県新庄市金沢字大道上２０３３番の４ヤマザワ新庄
プレビジョイカム新庄店,山形県新庄市金沢字吉袋８５３－３ヨークタウンアクロスプラザ新庄
モーリーファンタジー東根店,山形県東根市さくらんぼ駅前３－７－１５イオン東根２階
セガワールド米沢,山形県米沢市大字花沢字タナコ原１７７セガワールド米沢
プレビプレイランドコーナー米沢店,山形県米沢市駅前３－１－１８ヨークベニマル米沢１階プレビプレイランド
モーリーファンタジー米沢店,山形県米沢市春日２－１３－４イオン米沢２階
モーリーファンタジー酒田南店,山形県酒田市あきほ町１２０－１イオン酒田南１階
アピナ鶴岡店,山形県鶴岡市文下字広野１－１アピナ鶴岡
ナムコランドＳ－ＭＡＬＬ店,山形県鶴岡市錦町２－２１Ｓ－ＭＡＬＬ２階
SOYUGameField三川店,山形県東田川郡三川町猪子和田庫１２８－１イオンモール三川１階
モーリーファンタジー三川店,山形県東田川郡三川町大字猪子字和田庫１２８－１イオンモール三川２階
こころっこ白鷹店,山形県西置賜郡白鷹町荒砥乙字田中道535-1マックスバリュ白鷹店内
ちびっこザウルス,福島県いわき市小名浜大原東田９６ヨークタウンアクロスプラザ大原１階
イトーヨーカドー平店,福島県いわき市平６－６－２イトーヨーカドー平
セガワールド勿来,福島県いわき市勿来町四沢鍵田１３セガワールド勿来
セガ小名浜,福島県いわき市小名浜林城字塚前１８－１セガ小名浜
トイザらスいわき店,福島県いわき市平谷川瀬字双藤町５３－１トイザらスいわき
ドリームファクトリーいわき店,福島県いわき市中央台飯野４－１ＭＥＧＡドン・キホーテラパークいわき
モーリーファンタジーいわき店,福島県いわき市平字三倉６８－１イオンいわき３階
ヨークベニマル泉店内プレビプレイランド店,福島県いわき市泉町滝尻折返５７ヨークベニマルいわき泉１階プレビプレイランド
鹿島エブリアプレビプレイランド,福島県いわき市鹿島町米田日渡５鹿島ショッピングセンターエブリア２階プレビプレイランド
イトーヨーカドー平店内プレビプレイランド店,福島県いわき市平６－６－２イトーヨーカドー平４階プレビプレイランド
アピタ会津若松店,福島県会津若松市神指町南四合幕内南１５４アピタ会津若松
スウィーツファクトリーパックン会津若松店,福島県会津若松市神指町南四合１５４アピタ会津若松２階
スーパーノバ会津インター店,福島県会津若松市町北町上荒久田宮下１４２スーパーノバ会津インター
イオンスーパーセンター南相馬店,福島県南相馬市原町区大木戸金場７７イオンスーパーセンター南相馬
南相馬ジャスモールファンタジー,福島県南相馬市原町区大木戸金場77イオンスーパーセンター南相馬
PALO喜多方店,福島県喜多方市字押切南2丁目42-1
モーリーファンタジー相馬店,福島県相馬市馬場野字雨田５１イオン相馬２階
イトーヨーカドー福島店,福島県福島市太田町１３－４イトーヨーカドー福島
ザ・サードプラネットピボット福島店,福島県福島市栄町１－１パワーシティピボット
スーパーノバ福島店,福島県福島市黒岩中島７－２スーパーノバ福島
セガワールド福島,福島県福島市本内中井６－１セガワールド福島
ディノスパーク南福島店,福島県福島市黒岩字中沖４３－２ディノスパーク南福島
トイザらス福島店,福島県福島市森合字清水７コープマートいずみ２Ｆ
ハロータイトーイオン福島店,福島県福島市南矢野目字西荒田５０－１７イオン福島３Ｆ
モーリーファンタジー福島店,福島県福島市南矢野目字西荒田５０－１７イオン福島
namco郡山西部プラザ店,福島県郡山市西ノ内２丁目１１－３５西部プラザ
イトーヨーカドー郡山店,福島県郡山市西ノ内２－１１－４０イトーヨーカドー郡山
ゲームプラザAGS,福島県郡山市西ノ内２－１１－４０イトーヨーカドー郡山４階
セガワールド日和田,福島県郡山市日和田町字西中島７－１セガワールド日和田
タイトーアミューズメントシティ郡山,福島県郡山市南２－３８フレスポ郡山
トイザらス郡山店,福島県郡山市松木町２－８８イオンタウン郡山
モーリーファンタジー郡山フェスタ店,福島県郡山市日和田町字小原１イオン郡山フェスタ１階
ヨドバシカメラマルチメディア郡山,福島県郡山市駅前１－１６－７ヨドバシカメラマルチメディア郡山
西友ザ・モール郡山店,福島県郡山市長者１－１－５６西友ザ・モール郡山
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２－８８イオンタウン郡山
ソユーエンターテイメントスタジオ須賀川店,福島県須賀川市古河１０５番イオンタウン須賀川Ｂ棟内
PLANT-5大玉店,福島県安達郡大玉村大山字仲江２７１ＰＬＡＮＴ－５大玉
モーリーファンタジー鏡石店,福島県岩瀬郡鏡石町桜岡３７５－９イオンスーパーセンター鏡石１階
モーリーファンタジー白河西郷店,福島県西白河郡西郷村大字小田倉字岩下１１－１イオン白河西郷２階
namcoiiasつくば店,茨城県つくば市研究学園Ｃ－５０街区１イーアスつくば２Ｆ　２１９０
namcoイオンモールつくば店,茨城県つくば市稲岡６６－１イオンモールつくば３Ｆ
